Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
444,2.24,1,19,16,0.64,1.07,0.29,1.17,0.45,0,0.01,1,84.2,84.2,0.17,0.38,2.11,145641,18631185,10,0
444,3.48,1,19,18,1.03,1.02,0.31,0.94,0.32,0,0.08,1,94.7,94.7,0.1,0.22,3.02,147717,18342736,90,0
343,2.72,1,19,17,0.76,1.1,0.53,1.22,0.71,0,0.05,1,89.5,89.5,0.14,0.31,2.5,145196,10897771,10,0
74,-2.72,1,19,1,1.06,1,0.29,0.76,0,0,0,1,94.7,94.7,0.24,0.22,-2.27,149014,7663935,80,10
3,0.12,1,19,8,0.49,0.98,-0.11,0.95,-0.22,0,0.32,1,63.2,64.2,0.3,0.47,0.14,146545,6709613,0,0
77,-1.39,1,19,3,0.66,0.73,-0.54,0.62,-0.62,0,0.68,1,84.2,85.1,0.31,0.34,-0.9,144858,7670117,10,82
181,-0.67,1,19,5,0.55,1.08,0.37,1.09,0.42,0,0.2,1,78.9,76.3,0.32,0.36,-0.6,150956,10163700,10,0
261,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,145013,10284842,80,70
297,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147360,10477047,82,0
182,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,149532,10164731,82,0
52,-1.39,1,19,4,0.66,0.73,-0.54,0.61,-0.62,0,0.68,1,89.5,85.1,0.31,0.23,-0.9,148853,7642938,80,70
48,1.05,1,19,12,0.49,0.93,-0.82,0.88,-0.57,0,0.39,1,63.2,64.3,0.25,0.45,1.02,145253,7640498,10,50
51,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146201,7639503,10,82
345,2.24,1,19,16,0.64,0.87,-0.07,0.68,-0.38,0,0.34,1,84.2,84.2,0.17,0.34,2.11,144745,10975136,10,0
18,1.87,1,19,15,0.57,0.94,-0.08,0.9,-0.21,0,0.28,1,78.9,79,0.19,0.39,1.79,143571,7615590,82,0
249,2.24,1,19,16,0.64,0.91,-0.07,0.7,-0.25,0,0.34,1,84.2,84.2,0.17,0.34,2.11,150251,10246444,10,0
216,3.48,1,19,18,1.03,1,0.3,0.85,0.25,0,0.1,1,94.7,94.7,0.1,0.22,3.02,142923,10216413,10,80
50,1.57,1,19,14,0.53,1.04,0.2,0.86,-0.04,0,0.23,1,73.7,73.7,0.21,0.42,1.51,143274,7638116,10,0
177,2.24,1,19,16,0.64,0.96,0.09,0.78,-0.08,0,0.2,1,84.2,84.2,0.17,0.35,2.11,149548,10150536,10,0
353,3.48,1,19,18,1.03,0.91,0.2,0.49,-0.12,0,0.32,1,94.7,94.7,0.1,0.21,3.02,151216,10892923,10,60
186,3.48,1,19,18,1.03,0.96,0.24,0.59,0.05,0,0.23,1,94.7,94.7,0.1,0.22,3.02,143042,10163468,10,80
131,2.72,1,19,17,0.76,0.99,0.09,0.9,-0.08,0,0.19,1,89.5,89.5,0.14,0.26,2.5,144044,9677615,10,0
372,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,151285,11299177,82,0
175,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,149013,10151869,0,0
31,2.24,1,19,16,0.64,1.07,0.3,1,0.31,0,-0.02,1,84.2,84.2,0.17,0.36,2.11,144011,7620918,10,0
407,1.87,1,19,15,0.57,1.01,0.16,0.95,-0.03,0,0.26,1,78.9,79,0.19,0.4,1.79,145979,14309785,10,82
123,2.72,1,19,17,0.76,0.7,-0.54,0.67,-0.63,0,0.75,1,89.5,89.5,0.14,0.29,2.5,148940,9577432,82,0
19,1.87,1,19,15,0.57,0.93,-0.07,0.86,0.11,0,0.15,1,78.9,80.8,0.19,0.38,1.79,144923,7613520,10,0
450,-2.72,1,19,1,1.06,1,0.31,0.82,-0.18,0,0.19,1,94.7,94.7,0.24,0.22,-2.27,147717,19764146,10,40
29,3.48,1,19,18,1.03,0.96,0.24,0.63,0.05,0,0.23,1,94.7,94.7,0.1,0.22,3.02,148910,7621809,10,0
131,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147682,9629653,50,0
419,-0.38,1,19,6,0.52,1.08,0.37,1.21,0.53,0,0.23,1,68.4,72.2,0.32,0.44,-0.34,152366,15905829,82,0
335,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,147400,10819673,10,0
294,2.72,1,19,17,0.76,0.92,0.06,0.72,-0.13,0,0.29,1,89.5,89.5,0.14,0.29,2.5,147269,10474056,10,0
276,2.24,1,19,16,0.64,0.92,-0.08,0.82,-0.34,0,0.32,1,84.2,84.2,0.17,0.34,2.11,143664,10290524,10,0
232,-1.9,1,19,2,0.78,1.09,0.32,1.05,0.17,0,0.26,1,89.5,89.5,0.29,0.32,-1.69,144011,10225269,60,10
381,2.24,1,19,16,0.64,1,0.03,1,0,0,0.23,1,84.2,84.2,0.17,0.36,2.11,146333,12130443,10,0
193,0.35,1,19,9,0.48,0.88,-0.98,0.85,-0.89,0,0.4,1,68.4,61.6,0.29,0.46,0.36,146521,10163468,10,50
397,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,144838,12703729,90,0
188,3.48,1,19,18,1.03,0.96,0.25,0.63,0.05,0,0.23,1,94.7,94.7,0.1,0.22,3.02,144355,10167765,82,0
413,-4.01,-1,19,0,1.86,1,0,1,0,0,0,1,100,100,0,0,-4.01,149395,15727459,82,0
54,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,144963,7646429,10,0
79,-2.72,1,19,1,1.06,1,0.29,0.76,0.07,0,0,1,94.7,94.7,0.24,0.22,-2.27,147038,7666942,60,10
184,3.48,1,19,18,1.03,0.96,0.24,0.63,0.05,0,0.23,1,94.7,94.7,0.1,0.22,3.02,143042,10163700,82,0
14,3.48,1,19,18,1.03,1.07,0.36,1.4,0.64,0,-0.07,1,94.7,94.7,0.1,0.23,3.02,144445,7613784,10,50
284,2.24,1,19,16,0.64,0.96,0.05,0.8,-0.07,0,0.25,1,84.2,84.2,0.17,0.35,2.11,144219,10393072,10,0
196,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,149646,10195459,0,0
436,-0.67,1,19,5,0.55,1.09,0.32,1.21,0.53,0,0.17,1,78.9,76.3,0.32,0.45,-0.6,145431,18092055,10,82
35,0.58,1,19,10,0.48,1.03,0.31,0.99,0.07,0,0.28,1,47.4,60.2,0.28,0.48,0.58,145269,7617607,10,60
222,0.12,1,19,8,0.49,1.06,0.5,1.1,0.42,0,0.22,1,63.2,64.2,0.3,0.48,0.14,150773,10220909,82,0
107,-0.99,1,19,3,0.55,1.09,0.37,1.21,0.53,0,0.23,1,78.9,76.3,0.32,0.36,-0.6,148967,9338659,10,20
87,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,148903,7683944,10,0
348,2.72,1,19,17,0.76,1.1,0.37,1.19,0.46,0,0,1,89.5,89.5,0.14,0.31,2.5,145196,10839267,10,0
2,0.12,1,19,8,0.49,0.89,-0.9,0.85,-0.65,0,0.5,1,68.4,64.2,0.3,0.44,0.14,148926,6709613,0,0
365,3.48,1,19,18,1.03,0.87,-0.18,0.49,-0.37,0,0.39,1,94.7,94.7,0.1,0.21,3.02,146975,11001674,10,60
363,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146988,11063157,10,50
149,1.05,1,19,12,0.49,1,0.08,1.09,0.43,0,0.17,1,68.4,64.3,0.25,0.48,1.02,149589,10123695,0,0
7,3.48,1,19,18,1.03,1.02,0.32,0.95,0.36,0,0.09,1,94.7,94.7,0.1,0.22,3.02,146755,6919553,10,0
83,0.81,1,19,11,0.48,0.91,-0.23,0.85,-0.46,0,0.4,1,68.4,61.1,0.26,0.43,0.8,144657,7672225,80,10
377,4.73,0,19,19,1.84,1,0,1,0,0,0,1,100,100,0,0,4.73,146312,11374977,90,50
