Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
61,1.67,1,13,9,0.69,0.52,-2.07,0.44,-1.65,0,0.86,1,100,75.5,0.48,0.31,1.61,148893,7653093,10,0
48,2.17,1,13,10,0.74,0.65,-1.02,0.52,-0.81,0,0.73,1,92.3,79.7,0.44,0.34,2.08,148868,7640498,10,0
63,-1.56,1,13,2,0.83,0.61,-0.79,0.33,-0.47,0,0.62,1,84.6,84.6,0.34,0.26,-1.38,144397,7650957,90,80
107,5.01,0,13,13,1.87,1,0,1,0,0,0,1,100,100,0,0,5.01,148988,9305807,0,0
443,2.17,1,13,10,0.74,1.01,0.24,0.74,-0.06,0,0.51,1,76.9,79.7,0.44,0.38,2.08,144865,18060455,82,0
214,0.38,1,13,6,0.64,0.46,-2.3,0.41,-1.88,0,0.87,1,100,72.9,0.5,0.29,0.38,149441,10216650,10,0
267,0.79,1,13,7,0.65,0.47,-2.2,0.4,-1.85,0,0.87,1,100,73,0.51,0.29,0.78,150768,10287809,80,50
344,5.01,0,13,13,1.87,1,0,1,0,0,0,1,100,100,0,0,5.01,151234,10932127,0,0
423,-0.48,1,13,4,0.68,0.9,-0.16,1.32,-0.14,0,0.56,1,92.3,74.5,0.45,0.37,-0.43,145749,16893891,10,0
27,2.78,1,13,11,0.84,0.88,-0.21,0.54,-0.16,0,0.56,1,84.6,84.6,0.38,0.31,2.61,144923,7617607,82,10
96,-0.48,1,13,4,0.68,1.07,0.5,1.9,1.59,0,0.33,1,76.9,74.5,0.45,0.37,-0.43,144581,7682697,90,90
423,3.68,1,13,12,1.09,0.72,-0.14,0.26,-0.3,0,0.5,1,92.3,92.3,0.28,0.22,3.26,144207,16979966,80,70
85,3.68,1,13,12,1.09,0.72,-0.14,0.26,-0.3,0,0.52,1,92.3,92.3,0.28,0.22,3.26,146896,7673973,10,80
158,-0.48,1,13,4,0.68,1.67,2.36,1.86,1.43,0,-0.02,1,84.6,74.5,0.45,0.63,-0.43,148890,10130462,82,0
224,-2.43,1,13,1,1.08,1.23,0.59,1.77,0.86,0,0,1,92.3,92.3,0.25,0.28,-2,149664,10222588,70,70
212,1.22,1,13,8,0.66,0.47,-2.07,0.39,-1.69,0,0.86,1,100,73.9,0.5,0.29,1.19,147355,10202064,82,0
150,5.01,0,13,13,1.87,1,0,1,0,0,0,1,100,100,0,0,5.01,144579,10099824,10,90
157,2.17,1,13,10,0.74,0.84,-0.29,0.57,-0.26,0,0.56,1,76.9,79.7,0.44,0.35,2.08,144910,10131493,82,0
257,5.01,0,13,13,1.87,1,0,1,0,0,0,1,100,100,0,0,5.01,146890,10267417,10,80
6,2.78,1,13,11,0.84,0.88,0.11,0.54,-0.08,0,0.43,1,84.6,84.6,0.38,0.32,2.61,145253,2826720,10,0
59,2.17,1,13,10,0.74,1.6,1.98,3.99,1.83,0,-0.24,1,69.2,79.7,0.44,0.47,2.08,147559,7660871,90,0
55,0.79,1,13,7,0.65,0.59,-1.41,0.44,-1.09,0,0.76,1,84.6,73,0.51,0.31,0.78,148897,7646046,10,50
117,2.78,1,13,11,0.84,0.8,-0.3,0.46,-0.28,0,0.55,1,92.3,84.6,0.38,0.29,2.61,147080,9466908,10,0
11,3.68,1,13,12,1.09,1.12,0.4,0.67,0.23,0,0.24,1,92.3,92.3,0.28,0.27,3.26,145269,7596405,82,0
69,-1.56,1,13,2,0.83,1.13,0.35,1,0.34,0,0.17,1,84.6,84.6,0.34,0.35,-1.38,145314,7669658,82,10
79,2.17,1,13,10,0.74,0.57,-1.21,0.39,-0.81,0,0.73,1,92.3,79.7,0.44,0.29,2.08,144033,7669658,40,80
90,-2.43,1,13,1,1.08,1.3,0.68,4.42,2,0,-0.3,1,92.3,92.3,0.25,0.29,-2,149627,7685394,70,10
1,0.79,1,13,7,0.65,0.78,-0.71,0.67,-0.47,0,0.62,1,84.6,73,0.51,0.37,0.78,143049,6709613,10,0
403,3.68,1,13,12,1.09,0.57,-0.9,0.3,-0.57,0,0.68,1,92.3,92.3,0.28,0.25,3.26,144419,13915916,80,50
450,1.67,1,13,9,0.69,1.15,0.75,1.09,0.4,0,0.39,1,61.5,75.5,0.48,0.45,1.61,145013,20365829,10,0
182,1.67,1,13,9,0.69,0.93,-0.02,0.7,-0.19,0,0.57,1,84.6,75.5,0.48,0.34,1.61,149548,10167633,10,80
226,5.01,0,13,13,1.87,1,0,1,0,0,0,1,100,100,0,0,5.01,143723,10218688,10,0
274,1.67,1,13,9,0.69,0.52,-2.07,0.39,-1.65,0,0.86,1,100,75.5,0.48,0.29,1.61,150362,10293582,82,0
242,1.22,1,13,8,0.66,0.64,-1.29,0.51,-1.07,0,0.76,1,84.6,73.9,0.5,0.33,1.19,150238,10231323,10,80
1,2.78,1,13,11,0.84,1.14,0.44,0.67,0.01,0,0.35,1,84.6,84.6,0.38,0.35,2.61,145071,5626579,10,0
242,3.68,1,13,12,1.09,0.72,-0.14,0.26,-0.3,0,0.5,1,92.3,92.3,0.28,0.22,3.26,150198,10229175,82,0
448,2.17,1,13,10,0.74,1.01,0.16,0.91,-0.26,0,0.46,1,76.9,79.7,0.44,0.38,2.08,150680,19364393,0,0
201,3.68,1,13,12,1.09,0.78,-0.32,0.36,-0.3,0,0.55,1,92.3,92.3,0.28,0.25,3.26,149699,10201173,10,82
385,5.01,0,13,13,1.87,1,0,1,0,0,0,1,100,100,0,0,5.01,146125,12295272,10,0
161,2.17,1,13,10,0.74,0.72,-0.14,0.53,-0.3,0,0.5,1,84.6,79.7,0.44,0.33,2.08,147038,10142622,10,50
329,3.68,1,13,12,1.09,0.72,-0.14,0.26,-0.3,0,0.5,1,92.3,92.3,0.28,0.22,3.26,147028,10707808,90,0
