Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
37,-3.1594,1,36,0,1.032,1.01,0.09,0.75,0,0.0011,0.26,1,97.2,97.2,0.23,0.16,-2.1807,144650,10187936,80,10
120,-4.4077,-1,36,0,1.8437,1,0,1,0,0,0,1,100,100,0,0,-4.4077,151283,11111321,82,0
477,1.5637,1,36,23,0.3744,1.02,0.17,1.52,1,0.0024,0.29,1,55.6,68.6,0.37,0.46,1.5506,150596,18809073,10,50
2,1.2891,1,36,21,0.3673,1.2,1.16,1.3,1.36,0.0023,0.21,1,55.6,66.8,0.39,0.48,1.2828,150222,9471871,10,50
247,2.5288,1,36,29,0.4422,1.12,0.5,1.2,0.68,0.0024,0.22,1,80.6,80.5,0.29,0.38,2.4802,143109,12305006,0,0
21,0.1989,1,36,13,0.3824,0.99,-0.04,0.93,-0.21,0.002,0.44,1,63.9,72.3,0.42,0.43,0.2157,150287,10168621,10,0
241,0.8886,1,36,18,0.3651,0.89,-0.52,0.91,-0.27,0.0023,0.47,1,72.2,66.8,0.41,0.42,0.8909,150405,12274828,82,0
254,-2.402,1,36,2,0.7517,0.84,-0.24,0.28,-0.71,0.0011,0.48,1,94.4,94.5,0.23,0.21,-2.1807,145673,12316849,82,0
443,2.3416,1,36,28,0.4232,1.01,0.16,0.9,-0.14,0.0024,0.37,1,77.8,77.9,0.31,0.39,2.3022,145664,16362470,80,90
289,3.5785,1,36,33,0.6174,1.04,0.24,0.75,0.06,0.0022,0.19,1,91.7,91.7,0.2,0.28,3.4345,143907,12922919,82,0
96,-0.4393,1,36,9,0.4216,0.95,-0.14,0.89,-0.69,0.0017,0.48,1,80.6,78.2,0.4,0.4,-0.4056,149569,10455280,10,0
141,4.7724,1,36,35,1.0222,1.09,0.29,0.99,0.28,0.002,0.1,1,97.2,97.2,0.12,0.17,4.296,147534,11264187,10,0
444,2.9687,1,36,31,0.5002,1.08,0.31,0.8,-0.27,0.0023,0.23,1,86.1,86.1,0.25,0.32,2.8913,143907,16936876,82,0
147,2.5288,1,36,29,0.4422,0.85,-0.67,0.62,-0.76,0.0024,0.47,1,80.6,80.5,0.29,0.34,2.4802,145666,11287977,50,10
262,3.2418,1,36,32,0.5468,0.99,0.11,0.66,-0.16,0.0022,0.28,1,88.9,88.9,0.23,0.31,3.1394,144711,12341878,10,80
290,2.5288,1,36,29,0.4422,1.34,1.02,1.72,1.41,0.0024,-0.02,1,75,80.5,0.29,0.43,2.4802,148364,13030795,10,82
409,1.4251,1,36,22,0.3702,0.95,-0.26,0.84,-0.65,0.0024,0.47,1,63.9,67.6,0.38,0.44,1.4155,148082,14454696,10,80
298,2.9687,1,36,31,0.5002,0.96,0.04,0.77,-0.24,0.0023,0.3,1,86.1,86.1,0.25,0.32,2.8913,145683,13022113,10,0
48,1.5637,1,36,23,0.3744,0.9,-0.45,0.91,-0.27,0.0024,0.43,1,75,68.6,0.37,0.43,1.5506,149693,10238719,10,0
72,-0.4393,1,36,9,0.4216,1.16,0.9,1.03,0.15,0.0017,0.25,1,72.2,78.2,0.4,0.44,-0.4056,149636,10289658,10,80
189,2.1688,1,36,27,0.4084,1.07,0.51,0.94,-0.22,0.0024,0.31,1,72.2,75.7,0.32,0.43,2.1366,151387,11494794,0,0
285,0.1989,1,36,13,0.3824,1,0.02,0.92,-0.12,0.002,0.44,1,75,72.3,0.42,0.43,0.2157,149058,12934267,82,0
397,4.032,1,36,34,0.7393,1.12,0.44,1.45,1.69,0.0021,0.07,1,94.4,94.4,0.16,0.24,3.805,145188,14391856,80,70
372,3.2418,1,36,32,0.5468,1.13,0.57,0.99,0.25,0.0022,0.16,1,88.9,88.9,0.23,0.37,3.1394,145188,14162334,50,0
423,1.5637,1,36,23,0.3744,1.03,0.32,0.91,-0.39,0.0024,0.36,1,55.6,68.6,0.37,0.45,1.5506,148229,14568071,82,0
165,-0.4393,1,36,9,0.4216,0.99,0.02,0.79,-0.27,0.0017,0.47,1,77.8,78.2,0.4,0.45,-0.4056,151387,11393505,10,0
406,2.0068,1,36,26,0.3966,1.04,0.31,0.91,-0.33,0.0024,0.33,1,72.2,73.6,0.34,0.41,1.9806,149295,14471434,50,0
281,-4.4077,-1,36,0,1.8437,1,0,1,0,0,0,1,100,100,0,0,-4.4077,148262,12942529,82,0
122,-2.402,1,36,2,0.7517,0.81,-0.42,0.31,-0.75,0.0011,0.51,1,94.4,94.5,0.23,0.21,-2.1807,146034,11111194,82,0
455,2.5288,1,36,29,0.4422,0.89,-0.53,0.77,-0.79,0.0024,0.46,1,80.6,80.5,0.29,0.36,2.4802,150655,17626366,10,70
60,3.5785,1,36,33,0.6174,1.03,0.21,0.95,-0.03,0.0022,0.25,1,91.7,91.7,0.2,0.27,3.4345,145681,10270094,10,0
217,2.3416,1,36,28,0.4232,0.88,-0.32,0.71,-0.71,0.0024,0.42,1,80.6,77.9,0.31,0.36,2.3022,149324,12149985,82,0
36,-1.9318,1,36,3,0.6314,1.01,0.09,0.68,-0.1,0.0012,0.25,1,91.7,91.7,0.28,0.27,-1.7926,143710,10213546,10,80
40,4.032,1,36,34,0.7393,0.98,0.19,0.73,-0.09,0.0021,0.21,1,94.4,94.4,0.16,0.22,3.805,145354,10238719,10,0
135,1.5637,1,36,23,0.3744,1,0.01,0.89,-0.19,0.0024,0.34,1,69.4,68.6,0.37,0.45,1.5506,151387,11250569,70,0
431,2.9687,1,36,31,0.5002,1.02,0.23,0.87,-0.04,0.0023,0.25,1,86.1,86.1,0.25,0.33,2.8913,148041,15008487,82,0
337,1.7059,1,36,24,0.3801,0.88,-0.68,0.77,-0.68,0.0024,0.45,1,72.2,70,0.36,0.39,1.8319,149324,13469517,80,0
312,6.0086,0,36,36,1.8364,0.96,0,0.55,-0.3,0.0022,0.27,1,100,100,0,0,6.0086,144152,13177540,60,80
489,2.5288,1,36,29,0.4422,1.04,0.24,1.47,1.08,0.0024,0.26,1,80.6,80.5,0.29,0.38,2.4802,148036,19979916,82,80
488,2.1688,1,36,27,0.4084,1.03,0.21,1.53,1.07,0.0024,0.23,1,77.8,75.7,0.32,0.41,2.1366,149415,20170734,82,0
192,0.4829,1,36,15,0.3722,1.14,0.95,1.05,0.3,0.0021,0.24,1,61.1,69.6,0.42,0.48,0.4935,152199,11503076,82,0
356,1.8532,1,36,26,0.3874,1.13,0.98,1.03,0.21,0.0024,0.22,1,69.4,72.3,0.36,0.48,1.689,148440,13950789,10,0
330,6.0086,0,36,36,1.8364,1,0,1,0,0.0022,0,1,100,100,0,0,6.0086,145004,13471724,10,0
380,0.3428,1,36,14,0.3767,1.21,1.45,1.33,1.61,0.0021,0.2,1,63.9,71,0.42,0.49,0.3564,151016,14107465,10,0
282,-4.4077,-1,36,0,1.8437,1,0,1,0.09,0,0,1,100,100,0,0,-4.4077,146984,12960985,10,0
12,3.5785,1,36,33,0.6174,1.06,0.44,2.19,2.14,0.0022,0.09,1,91.7,91.7,0.2,0.28,3.4345,150246,10144463,82,0
262,3.2418,1,36,32,0.5468,0.96,-0.03,0.7,-0.23,0.0022,0.28,1,88.9,88.9,0.23,0.31,3.1394,145683,12341878,10,0
239,4.032,1,36,34,0.7393,0.97,0.14,0.75,-0.18,0.0021,0.28,1,94.4,94.4,0.16,0.22,3.805,143745,12228672,0,0
291,4.032,1,36,34,0.7393,1.02,0.24,0.8,0.2,0.0021,0.17,1,94.4,94.4,0.16,0.23,3.805,145825,13030795,82,0
273,-0.2673,1,36,10,0.4088,1.33,1.46,1.69,2.21,0.0018,-0.02,1,69.4,76.8,0.41,0.46,-0.2388,145417,12893307,90,0
114,-4.4077,-1,36,0,1.8437,1,0,1,0,0,0,1,100,100,0,0,-4.4077,150347,11090839,10,0
188,3.5785,1,36,33,0.6174,1.03,0.21,0.74,-0.16,0.0022,0.28,1,91.7,91.7,0.2,0.27,3.4345,145825,11480378,50,0
60,3.5785,1,36,33,0.6174,1.12,0.41,1.27,0.53,0.0022,0.06,1,91.7,91.7,0.2,0.28,3.4345,147749,10270957,70,80
45,0.1989,1,36,13,0.3824,1.21,1.51,1.16,0.85,0.002,0.2,1,58.3,71.6,0.42,0.5,0.2157,145868,10238719,10,0
450,4.7724,1,36,35,1.0222,1.05,0.36,1.95,1.08,0.002,-0.08,1,97.2,97.2,0.12,0.17,4.296,146124,17026385,82,0
343,4.032,1,36,34,0.7393,1.02,0.25,0.84,0.17,0.0021,0.17,1,94.4,94.4,0.16,0.23,3.805,145825,13690159,10,0
216,4.7724,1,36,35,1.0222,1,0.31,0.63,-0.02,0.002,0.21,1,97.2,97.2,0.12,0.16,4.296,144630,12156612,10,60
222,2.0068,1,36,26,0.3966,0.91,-0.46,0.84,-0.64,0.0024,0.44,1,72.2,73.6,0.34,0.39,1.9806,151793,12176915,82,0
248,0.8886,1,36,18,0.3651,0.96,-0.39,0.94,-0.16,0.0023,0.48,1,66.7,66.8,0.41,0.44,0.8909,146579,12292575,10,0
361,2.5288,1,36,29,0.4422,0.91,-0.26,0.72,-0.71,0.0024,0.41,1,77.8,80.5,0.29,0.38,2.4802,150655,13955225,80,0
197,0.4829,1,36,15,0.3722,1.04,0.31,1.02,0.33,0.0021,0.41,1,69.4,69.6,0.42,0.47,0.4935,151387,11494662,82,0
149,2.3416,1,36,28,0.4232,0.87,-0.8,0.81,-1.07,0.0024,0.51,1,80.6,77.9,0.31,0.37,2.3022,150652,11287977,80,0
211,2.3416,1,36,28,0.4232,1.16,0.62,1.11,0.66,0.0024,0.19,1,69.4,77.9,0.31,0.45,2.3022,147966,12082015,82,50
426,0.62,1,36,16,0.3688,1.33,2.3,1.48,2.7,0.0022,0.01,1,55.6,68.4,0.41,0.52,0.6277,151459,14622866,80,50
301,2.0068,1,36,26,0.3966,1.13,0.77,1,0.05,0.0024,0.2,1,77.8,73.6,0.34,0.45,1.9806,145625,13017683,90,0
178,-4.4077,-1,36,0,1.8437,1,0,1,0,0,0,1,100,100,0,0,-4.4077,144594,11457457,82,0
295,2.9687,1,36,31,0.5002,1.02,0.18,1.01,0.19,0.0023,0.21,1,86.1,86.1,0.25,0.32,2.8913,148036,13025422,82,0
366,3.5785,1,36,33,0.6174,1.01,0.12,0.63,-0.18,0.0022,0.28,1,91.7,91.7,0.2,0.27,3.4345,151210,14016095,0,0
407,2.5288,1,36,29,0.4422,0.89,-0.41,0.74,-0.61,0.0024,0.45,1,83.3,80.5,0.29,0.34,2.4802,152531,14471434,50,80
374,0.62,1,36,16,0.3688,1.08,0.57,1.02,0.25,0.0022,0.33,1,55.6,68.4,0.41,0.47,0.6277,144684,14126974,10,0
172,-2.402,1,36,2,0.7517,0.98,0.15,0.29,-0.33,0.0011,0.28,1,94.4,94.5,0.23,0.22,-2.1807,150289,11457457,82,10
345,1.5637,1,36,23,0.3744,0.78,-0.98,0.78,-1.04,0.0024,0.53,1,77.8,68.6,0.37,0.43,1.5506,149873,13697390,10,0
95,-1.9318,1,36,3,0.6314,0.81,-0.08,0.33,-0.47,0.0012,0.43,1,91.7,91.7,0.31,0.26,-1.7926,146053,10451684,80,0
138,0.1989,1,36,13,0.3824,1.14,1.01,1.02,0.19,0.002,0.28,1,69.4,72.3,0.42,0.48,0.2157,151294,11268689,82,0
146,2.5288,1,36,29,0.4422,0.85,-0.68,0.62,-0.83,0.0024,0.46,1,80.6,80.5,0.29,0.35,2.4802,144230,11287977,80,0
253,0.3428,1,36,14,0.3767,1.21,1.45,1.25,1.19,0.0021,0.19,1,58.3,71,0.42,0.49,0.3564,148554,12327077,82,0
129,6.0086,0,36,36,1.8364,0.84,-0.25,0.44,-0.55,0.0022,0.36,1,100,100,0,0,6.0086,145673,11209496,10,0
