Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
61,-0.0706,1,36,13,0.4,1.52,1.88,1.53,2.07,0.0038,0.1,1,69.4,75.4,0.49,0.48,-0.0496,149585,10269231,82,0
110,-0.2339,1,36,12,0.4092,0.94,-0.44,0.81,-1.02,0.0037,0.61,1,80.6,76.9,0.5,0.38,-0.2095,151316,10535233,70,10
33,-2.0702,1,36,4,0.5938,1.14,0.43,1.55,1.63,0.002,0.26,1,91.7,89.2,0.42,0.3,-1.6754,149570,10212876,40,70
163,-2.4606,1,36,4,0.7778,0.58,0.04,0.14,-0.54,0.0016,0.47,1,91.7,89.2,0.32,0.28,-2.7625,143948,11393483,82,0
276,0.2372,1,36,15,0.3861,1.23,1.04,1.18,0.76,0.004,0.33,1,61.1,72.6,0.48,0.47,0.2518,145420,12975974,10,0
125,-0.0706,1,36,13,0.4,0.72,-1.75,0.68,-1.82,0.0038,0.68,1,86.1,75.4,0.49,0.36,-0.0496,147471,11164174,10,0
313,-0.0706,1,36,13,0.4,1.07,0.39,0.96,-0.06,0.0038,0.48,1,69.4,75.4,0.49,0.44,-0.0496,150653,13173995,82,0
291,1.2271,1,36,22,0.3758,0.97,-0.22,0.86,-0.5,0.0044,0.46,1,63.9,67.6,0.41,0.43,1.2199,143345,13025325,82,20
262,1.9858,1,36,27,0.4109,0.96,-0.18,0.81,-0.33,0.0045,0.42,1,80.6,75.9,0.33,0.39,1.9549,148487,12448419,0,0
83,1.0868,1,36,21,0.3737,0.98,-0.14,0.89,-0.34,0.0044,0.43,1,63.9,67.4,0.42,0.44,1.0829,151371,10332057,20,70
433,0.8085,1,36,19,0.3732,0.98,-0.1,0.87,-0.45,0.0043,0.47,1,69.4,68.5,0.44,0.44,0.811,149496,16388895,10,0
317,-5.0438,-1,36,0,1.855,1,0,0.96,-0.06,0,0,1,100,100,0,0,-5.0438,152139,13223569,10,10
141,1.0868,1,36,21,0.3737,0.81,-1.41,0.67,-1.24,0.0044,0.59,1,80.6,67.4,0.42,0.38,1.0829,151371,11268417,82,0
75,0.6689,1,36,18,0.3747,1.09,0.7,1.21,0.73,0.0042,0.34,1,69.4,69.3,0.45,0.46,0.6744,145682,10298134,82,0
