Entry,Theta,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,testeventid,ssid,asmtprmrydsbltycd,asmtscndrydsbltycd
409,2.5369,1,36,30,0.4657,1.04,0.29,0.83,-0.05,0.0023,0.25,1,83.3,83.3,0.27,0.37,2.4747,152213,14123495,10,0
358,-1.9039,1,36,3,0.6183,0.85,-0.01,0.53,-0.35,0.0011,0.38,1,91.7,91.7,0.2,0.25,-1.7591,151693,13299387,82,0
293,2.1467,1,36,28,0.4207,1.15,0.84,0.98,0.12,0.0023,0.17,1,66.7,78.2,0.3,0.42,2.1055,147242,12348651,10,50
414,1.9763,1,36,27,0.4052,0.8,-0.73,0.78,-0.62,0.0023,0.53,1,80.6,75.8,0.31,0.35,1.9422,150705,15144186,82,0
436,0.2255,1,36,14,0.364,1.11,1.1,1.18,0.91,0.0017,0.24,1,61.1,66.9,0.34,0.5,0.2375,149957,16158490,80,0
168,5.8124,0,36,36,1.8367,1,0,1,0,0.0025,0,1,100,100,0,0,5.8124,150936,10512594,0,80
395,2.7694,1,36,31,0.4995,0.9,-0.34,0.82,-0.13,0.0024,0.41,1,86.1,86.1,0.25,0.3,2.6907,150668,13811983,10,0
289,0.7387,1,36,18,0.3555,1.12,1.1,1.17,1.09,0.0019,0.19,1,61.1,64.5,0.35,0.5,0.7389,146729,12270563,82,0
22,0.2255,1,36,14,0.364,1.24,1.07,1.67,1.05,0.0017,-0.02,1,61.1,66.9,0.34,0.49,0.2375,149034,10140336,10,0
243,-4.3355,-1,36,0,1.8394,1,0,1,0,0,0,1,100,100,0,0,-4.3355,151402,11552808,10,0
435,1.1208,1,36,21,0.3599,1.13,1.25,1.22,1.07,0.002,0.16,1,61.1,65.1,0.34,0.5,1.1122,150798,16158490,0,0
196,0.4851,1,36,16,0.3576,1.08,0.65,1.16,1.07,0.0018,0.24,1,69.4,65.2,0.35,0.48,0.491,147640,11224002,10,0
116,1.1208,1,36,21,0.3599,0.99,-0.05,1,-0.03,0.002,0.31,1,69.4,65.1,0.34,0.46,1.1122,143937,10294740,10,0
367,3.833,1,36,34,0.74,0.96,0.13,0.55,-0.27,0.0024,0.29,1,94.4,94.4,0.17,0.22,3.6059,147516,13350943,80,50
347,3.3788,1,36,33,0.6177,1.03,0.21,0.97,-0.02,0.0024,0.18,1,91.7,91.6,0.2,0.27,3.2343,146449,13241001,82,0
158,5.8124,0,36,36,1.8367,1,0,1,0,0.0025,0,1,100,100,0,0,5.8124,145997,10493735,60,50
51,-1.9039,1,36,3,0.6183,1.08,0.39,1.07,0.5,0.0011,0.16,1,91.7,91.7,0.2,0.28,-1.7591,150269,10187731,0,40
342,0.3564,1,36,15,0.3602,1.23,2.03,1.26,1.89,0.0017,0.06,1,61.1,66.1,0.34,0.52,0.3653,147619,13042165,82,0
438,0.8651,1,36,19,0.3559,1,0,1,-0.11,0.0019,0.36,1,66.7,64.4,0.35,0.47,0.8625,152084,17185459,60,0
187,1.8172,1,36,26,0.3928,1.07,0.3,0.98,0.21,0.0022,0.24,1,72.2,74,0.31,0.43,1.789,150827,11128232,82,0
327,3.3788,1,36,33,0.6177,0.82,-0.34,0.48,-0.71,0.0024,0.44,1,91.7,91.6,0.2,0.24,3.2343,148596,12981052,10,0
411,5.8124,0,36,36,1.8367,1,0,1,0,0.0025,0,1,100,100,0,0,5.8124,150373,15128288,50,0
290,3.3788,1,36,33,0.6177,0.85,-0.11,0.48,-0.7,0.0024,0.44,1,91.7,91.6,0.2,0.25,3.2343,143266,12279609,74,80
145,0.2255,1,36,14,0.364,1.02,0.21,0.95,-0.11,0.0017,0.27,1,66.7,66.9,0.34,0.47,0.2375,143956,10460225,82,0
320,1.5235,1,36,25,0.3748,0.8,-1.47,0.75,-0.9,0.0021,0.53,1,72.2,70.3,0.33,0.39,1.5045,147530,12951692,10,50
379,3.3788,1,36,33,0.6177,0.73,-0.26,0.47,-0.78,0.0024,0.45,1,91.7,91.6,0.2,0.24,3.2343,150377,13593536,82,80
323,3.0421,1,36,32,0.5467,0.93,-0.07,0.7,-0.39,0.0024,0.34,1,88.9,88.9,0.23,0.29,2.9387,150273,12926825,80,50
189,3.3788,1,36,33,0.6177,0.96,0.06,0.69,-0.23,0.0024,0.33,1,91.7,91.6,0.2,0.26,3.2343,145710,11128232,90,0
369,2.3319,1,36,29,0.4403,0.96,0,0.86,-0.19,0.0023,0.3,1,83.3,80.7,0.28,0.4,2.2816,147242,13440624,10,50
46,0.9922,1,36,20,0.3574,1.24,1.9,1.27,1.82,0.002,-0.01,1,50,64.5,0.34,0.52,0.9867,147121,10188843,80,0
122,1.9763,1,36,27,0.4052,0.88,-0.34,0.85,-0.36,0.0023,0.41,1,77.8,76.1,0.31,0.4,1.9422,144099,10291598,82,0
466,-0.1908,1,36,11,0.3835,0.85,-0.98,0.86,-1.16,0.0015,0.51,1,75,72.1,0.32,0.43,-0.1674,148346,19513305,82,0
293,0.7387,1,36,18,0.3555,1.06,0.46,1.02,0.17,0.0019,0.28,1,72.2,64.5,0.35,0.47,0.7389,151309,12348651,0,0
185,2.5369,1,36,30,0.4657,0.88,-0.28,0.67,-0.67,0.0023,0.43,1,83.3,83.3,0.27,0.34,2.4747,151364,10942017,80,50
93,1.9763,1,36,27,0.4052,0.93,-0.33,0.85,-0.52,0.0023,0.41,1,80.6,76.1,0.31,0.39,1.9422,150193,10242015,80,0
